Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-06-01 00:00:00-04:00,416.3999938964844,442.5,414.0,435.8999938964844,6950,0.0,0.0
2005-07-01 00:00:00-04:00,427.79998779296875,430.5,419.6000061035156,429.8999938964844,44574,0.0,0.0
2005-08-01 00:00:00-04:00,430.0,449.5,429.1000061035156,433.79998779296875,3085,0.0,0.0
2005-09-01 00:00:00-04:00,438.5,474.0,438.5,469.0,11805,0.0,0.0
2005-10-01 00:00:00-04:00,467.79998779296875,478.5,460.5,465.1000061035156,2106,0.0,0.0
2005-11-01 00:00:00-05:00,463.0,502.29998779296875,455.29998779296875,494.6000061035156,157642,0.0,0.0
2005-12-01 00:00:00-05:00,494.20001220703125,538.5,490.1000061035156,517.0999755859375,12240,0.0,0.0
2006-02-01 00:00:00-05:00,570.7999877929688,575.2999877929688,535.5,561.5999755859375,10165,0.0,0.0
2006-03-01 00:00:00-05:00,562.5,589.5999755859375,539.9000244140625,581.7999877929688,94801,0.0,0.0
2006-04-01 00:00:00-05:00,582.0,651.7999877929688,582.0,651.7999877929688,8121,0.0,0.0
2006-05-01 00:00:00-04:00,658.0,723.0,637.0,642.5,137161,0.0,0.0
2006-06-01 00:00:00-04:00,642.7999877929688,645.0999755859375,555.0,613.5,6197,0.0,0.0
2006-07-01 00:00:00-04:00,631.0,677.0,612.7000122070312,634.2000122070312,99344,0.0,0.0
2006-08-01 00:00:00-04:00,635.4000244140625,656.0,609.0,625.9000244140625,4608,0.0,0.0
2006-09-01 00:00:00-04:00,624.4000244140625,638.5,576.4000244140625,598.5999755859375,17592,0.0,0.0
2006-11-01 00:00:00-05:00,612.5,648.0,612.5,646.9000244140625,114115,0.0,0.0
2006-12-01 00:00:00-05:00,645.7000122070312,649.7000122070312,612.0,635.2000122070312,3823,0.0,0.0
2007-01-01 00:00:00-05:00,635.2000122070312,655.5,607.0,652.0,101525,0.0,0.0
2007-02-01 00:00:00-05:00,652.9000244140625,687.7000122070312,642.0,669.4000244140625,3981,0.0,0.0
2007-03-01 00:00:00-05:00,673.0,673.0,640.0,663.0,52996,0.0,0.0
2007-05-01 00:00:00-04:00,673.7000122070312,688.0,651.0,661.0,158741,0.0,0.0
2007-06-01 00:00:00-04:00,661.5,674.0,640.0,648.0999755859375,4027,0.0,0.0
2007-08-01 00:00:00-04:00,663.2000122070312,676.2000122070312,642.9000244140625,673.0,8547,0.0,0.0
2007-09-01 00:00:00-04:00,672.5,745.7000122070312,672.5,742.7999877929688,27393,0.0,0.0
2007-10-01 00:00:00-04:00,745.0999755859375,795.4000244140625,724.2999877929688,792.0,2720,0.0,0.0
2007-11-01 00:00:00-04:00,785.2999877929688,841.2999877929688,777.5999755859375,782.2000122070312,239351,0.0,0.0
2007-12-01 00:00:00-05:00,783.9000244140625,843.2000122070312,777.0,834.9000244140625,7681,0.0,0.0
2008-01-01 00:00:00-05:00,848.7000122070312,936.2999877929688,846.4000244140625,922.7000122070312,231851,0.0,0.0
2008-02-01 00:00:00-05:00,924.7999877929688,973.0999755859375,884.7000122070312,972.0999755859375,8233,0.0,0.0
2008-03-01 00:00:00-05:00,984.2000122070312,1014.5999755859375,912.0,916.2000122070312,216432,0.0,0.0
2008-04-01 00:00:00-04:00,915.0,948.7000122070312,863.0,862.7999877929688,13006,0.0,0.0
2008-05-01 00:00:00-04:00,855.0,925.5999755859375,849.5999755859375,887.2999877929688,221797,0.0,0.0
2008-07-01 00:00:00-04:00,943.5999755859375,986.2000122070312,893.2999877929688,913.9000244140625,250610,0.0,0.0
2008-08-01 00:00:00-04:00,904.9000244140625,916.0999755859375,780.9000244140625,829.2999877929688,9253,0.0,0.0
2008-09-01 00:00:00-04:00,829.9000244140625,919.0,739.0,874.2000122070312,18800,0.0,0.0
2008-10-01 00:00:00-04:00,878.0,925.7000122070312,681.0,716.7999877929688,3365,0.0,0.0
2008-11-01 00:00:00-04:00,728.7999877929688,824.0,707.0,816.2000122070312,377779,0.0,0.0
2008-12-01 00:00:00-05:00,817.2000122070312,883.5999755859375,740.0,883.5999755859375,9599,0.0,0.0
